edge_from,edge_to,weight
4502562,4502562,71687
103225281,103225281,52110
58031724,58031724,48347
111326731,111326731,39522
168680287,168680287,38738
103321696,103321696,29749
192650101,192650101,26181
13144211,13144211,25625
52395412,52395412,22670
196647941,196647941,22665
134668137,134668137,21631
45693802,45693802,20644
115304631,115304631,20592
148561398,148561398,20532
148709879,148709879,20369
50372074,50372074,20119
414566,199944782,19930
199944782,199944782,19595
19032547,52395412,19562
196647941,4502562,19401
101949793,101949793,19133
51360982,51360982,18775
63459445,63459445,16680
414566,414566,16522
2595047959,4502562,16483
157670870,157670870,16457
184954342,184954342,15632
42080949,42080949,15493
168680287,4502562,14742
115304631,199944782,14668
43295729,111326731,14573
154637859,168680287,14457
63459445,4502562,14152
63459445,196647941,13382
51360982,184954342,13379
43295729,43295729,13227
45693802,42080949,13162
18902827,18902827,13110
19032547,19032547,13033
19032547,134668137,12967
204030396,204030396,12684
90727058,90727058,12432
52395412,134668137,12236
169411308,169411308,11197
58069681,58069681,10866
10936095,63459445,10644
100835903,100835903,10535
63459445,90422530,10434
202403813,202403813,10324
84775595,84775595,10286
184954342,51360982,10284
45693802,199944782,10251
134177497,134177497,9904
151820558,199944782,9887
103321696,125775545,9660
115173108,115173108,9331
80113298,80113298,9310
21117631,21117631,9170
113611870,113611870,9166
126920919,111326731,9102
10936095,196647941,9023
193920097,193920097,8946
10936095,10936095,8892
140556538,140556538,8817
154637859,154637859,8759
196647941,90422530,8745
196647941,63459445,8588
196139623,196139623,8181
185008460,199944782,8050
1032290579,1032290579,8008
2597175965,199944782,7679
90422530,90422530,7664
125775545,125775545,7609
207023548,207023548,7550
10892749,10892749,7509
25538012,199944782,7384
52395412,19032547,7267
168680287,98930721,7251
8351582,8351582,7249
177430994,199944782,7226
10936095,90422530,7192
196821226,103321696,7188
173256270,103321696,7180
63459445,168680287,7166
150671403,150671403,7157
173256270,173256270,7105
17421805,17421805,7046
103321696,173256270,6973
128556326,128556326,6816
18902827,128556326,6755
10169007,10169007,6711
171741597,171741597,6647
144771191,144771191,6640
10936095,4502562,6427
134668137,52395412,6411
86033158,86033158,6093
148561398,80113298,6082
199497470,199497470,6032
123019304,123019304,6026
168680287,196647941,6000
110206669,110206669,5934
62238642,62238642,5932
90422530,4502562,5919
90422530,196647941,5806
13144211,103321696,5791
129839026,129839026,5759
186357190,186357190,5742
81011612,81011612,5679
5240358,5240358,5669
45693802,123019304,5667
110206669,115304631,5657
183498172,51360982,5655
110206669,199944782,5623
199944782,25538012,5573
103482838,103482838,5492
151820558,414566,5367
129640837,51360982,5328
45693802,115304631,5297
192650101,169411308,5183
116571295,58069681,5169
103225281,123144817,5161
184777250,184777250,5148
33323087,33323087,5128
196821226,196821226,5116
106296714,106296714,5112
120629676,168680287,5095
38883057,57293258,5092
4502562,196647941,5065
185806230,185806230,5058
88061139,51360982,5015
147316732,4502562,4989
57293258,57293258,4967
111326731,126920919,4917
37879656,8351582,4893
205292342,148561398,4867
10936095,168680287,4852
45693802,414566,4847
88061139,184954342,4827
196647941,168680287,4803
414566,115304631,4740
151820558,151820558,4737
86033158,52395412,4719
59604973,59604973,4717
171741597,18902827,4702
103225281,58069681,4684
204030396,118036144,4681
25538012,25538012,4670
147316732,196647941,4662
45693802,51360982,4648
90727058,118992489,4644
38883057,38883057,4643
115173108,115304631,4620
140556538,13144211,4619
50631486,50631486,4566
49967189,63459445,4552
45693802,207023548,4498
97130795,97130795,4458
173256270,125775545,4432
167262187,167262187,4399
132362803,132362803,4386
115304631,25538012,4386
129640837,184954342,4384
83637746,83637746,4360
183498172,184954342,4350
414566,151820558,4333
49967189,49967189,4325
86033158,134668137,4319
56603566,184954342,4299
123144817,103225281,4293
148709879,165512578,4290
78735424,78735424,4285
123019304,42080949,4264
63459445,147316732,4254
18902827,193368155,4241
35920007,168680287,4220
9954729,9954729,4199
133646729,133646729,4193
57667410,103321696,4190
147316732,147316732,4177
91767247,52395412,4174
49967189,196647941,4173
93787993,93787993,4144
196647941,147316732,4142
42080949,123019304,4139
169411308,134177497,4135
154637859,115304631,4107
63392143,62238642,4094
2597175965,2597175965,4079
129640837,129640837,4076
5986019,134668137,4030
53142634,53142634,4026
137030581,137030581,4015
64117906,168680287,4014
115925768,115925768,4013
81616010,4502562,4005
37538908,37538908,3989
192650101,134177497,3984
123144817,123144817,3971
184777250,58031724,3955
97130795,157670870,3935
140556538,93787993,3934
63459445,10936095,3933
171559003,171559003,3904
103321696,33323087,3901
9954729,57293258,3890
168680287,63459445,3883
115173108,199944782,3862
105424869,115304631,3840
135221619,135221619,3838
115304631,115173108,3818
161464388,161464388,3809
205010575,8351582,3800
37151855,37151855,3767
126824455,126824455,3755
30698027,30698027,3753
90422530,63459445,3748
183498172,183498172,3735
140556538,192650101,3722
80113298,148561398,3704
168680287,90422530,3694
111872859,111872859,3693
928796702,193920097,3667
147316732,63459445,3659
175310385,175310385,3646
179157397,192650101,3642
73484101,73484101,3637
10936095,147316732,3633
37320504,37320504,3613
2595047959,168680287,3604
73535193,73535193,3597
90727058,59933527,3596
115004586,90422530,3574
118988714,118988714,3568
10169007,192650101,3567
57667410,57667410,3565
199497470,202446260,3564
147953040,147953040,3539
115004586,62238642,3537
126920919,126920919,3528
67831204,84775595,3527
76152103,76152103,3502
67831204,67831204,3500
49967189,90422530,3476
103321696,57667410,3472
169988927,103321696,3449
90727058,141020589,3447
118036144,118036144,3435
204030396,57293258,3430
168680287,154637859,3425
56603566,51360982,3417
105424869,199944782,3414
154637859,4502562,3399
174847851,174847851,3398
37879656,37879656,3390
37538908,100835903,3389
63459445,158797327,3385
42080949,207023548,3385
33368595,33368595,3380
185008460,25538012,3363
118992489,118992489,3351
2595047959,63459445,3351
4502562,168680287,3350
196821226,173256270,3346
100142436,100142436,3342
110206669,115173108,3320
38090728,115304631,3317
2597175965,25538012,3312
133363738,133363738,3273
116571295,116571295,3268
45693802,184954342,3257
91767247,134668137,3255
82675988,63459445,3238
85427048,63459445,3227
85427048,196647941,3221
2595047959,196647941,3203
36029991,52395412,3198
50368787,50368787,3197
179157397,169411308,3194
414566,25538012,3189
195231649,195231649,3182
201710173,201710173,3181
134177497,169411308,3171
2597175965,115304631,3156
169411308,192650101,3150
90727058,147953040,3142
92819544,92819544,3139
115304631,168680287,3137
133363738,51360982,3137
2597173376,118988714,3132
45693802,118988714,3131
103321696,193920097,3121
100835903,157670870,3119
128025751,128025751,3111
11622463,11622463,3102
165512578,165512578,3101
179157397,179157397,3098
13144211,192650101,3092
92363890,52395412,3089
158511090,115304631,3083
18904315,18904315,3083
62238642,90422530,3052
199944782,414566,3040
142305363,142305363,3031
43295729,126920919,3030
39243548,193920097,3030
117727964,111326731,3000
123019304,207023548,2992
103321696,130252234,2984
45693802,134177497,2980
73535193,50372074,2954
41486457,199944782,2952
4502562,90422530,2949
928796702,928796702,2949
174847851,80113298,2937
82675988,4502562,2936
206124708,206124708,2935
50368787,90727058,2927
101949793,199944782,2918
128556326,18902827,2918
140556538,103321696,2914
148561398,205292342,2901
147897268,147897268,2894
205292342,205292342,2894
2485537415,63459445,2887
85427048,4502562,2879
63392143,63392143,2860
49967189,4502562,2853
38090728,115173108,2851
59933527,59933527,2851
57667410,125775545,2850
106296714,199944782,2841
42080949,199944782,2826
83386566,83386566,2810
192650101,93787993,2809
158511090,199944782,2797
116712389,57293258,2794
157146593,157670870,2790
147897268,42080949,2784
80113298,174847851,2781
101949793,111326731,2769
58069681,199944782,2766
59933527,90727058,2755
10169007,13144211,2748
11065456,11065456,2746
87725633,87725633,2740
167262187,21117631,2735
63392143,90422530,2720
137030581,115173108,2719
58069681,116571295,2716
115304631,414566,2698
204030396,1032290579,2690
134668137,19032547,2688
13144211,199944782,2677
206927758,206927758,2670
129573059,129573059,2669
111326731,199944782,2669
137030581,199944782,2664
82675988,196647941,2662
163326656,163326656,2661
8351582,103482838,2654
10936095,158797327,2645
193920097,928796702,2636
43295729,171169652,2632
205292342,80113298,2627
205010575,205010575,2627
166990724,4502562,2624
154637859,98930721,2622
133768115,133768115,2619
154637859,199944782,2615
115925768,193920097,2606
92363890,134668137,2604
192650101,199944782,2597
110206669,414566,2591
13144211,173256270,2589
111326731,115304631,2588
115004586,115004586,2588
193624734,168680287,2583
147316732,90422530,2579
13144211,414566,2574
61310614,61310614,2564
151550017,148709879,2557
52395412,86033158,2555
115304631,4502562,2552
130252234,130252234,2546
148709879,203348814,2542
101949793,168680287,2533
186126824,18902827,2531
197665576,197665576,2520
23688054,23688054,2520
193920097,55826652,2516
202812398,57293258,2501
11622463,129839026,2494
196647941,10936095,2476
82675988,90422530,2461
53142634,129839026,2458
165473669,50372074,2448
105424869,115173108,2448
110206669,137030581,2443
7020383,57293258,2440
49967189,10936095,2439
90422530,62238642,2439
202812398,202812398,2432
192650101,13144211,2426
148503350,148503350,2407
62148650,62148650,2403
137030581,115304631,2401
18902827,171741597,2396
118357697,103225281,2392
151820558,115304631,2388
74726891,74726891,2388
204851967,128556326,2369
66221708,199944782,2366
13144211,169411308,2364
